dia;mes;ano;tempo;trat;sist;local;n;ID;area total;D1;D2;D3;D4;D5;D6;rosa;morto;cor;dia_exp;temp
13;2;2023;0;C;1;P;1;C1P1;22.289;0;0;0;0;22.289;0;0;0;D5;1;27.05
13;2;2023;0;C;1;R;1;C1R1;31.178;0;0;0;0;31.178;0;0;0;D5;1;27.05
13;2;2023;0;C;1;F;1;C1F1;44.349;0;0;44.349;0;0;0;0;0;D3;1;27.05
13;2;2023;0;C;1;R;2;C1R2;30.495;0;2.947;0;27.548;0;0;0;0;D4;1;27.05
13;2;2023;0;C;1;P;2;C1P2;24.087;0;0;0;0;24.087;0;0;0;D5;1;27.05
13;2;2023;0;C;1;F;2;C1F2;21.912;0;0;0;0;21.912;0;0;0;D5;1;27.05
13;2;2023;0;C;1;P;3;C1P3;23.335;0;0;0;0;23.335;0;0;0;D5;1;27.05
13;2;2023;0;C;1;F;3;C1F3;28.245;0;0;0;0;28.245;0;0;0;D5;1;27.05
13;2;2023;0;C;1;R;3;C1R3;24.137;0;0.761;0;23.376;0;0;0;0;D4;1;27.05
13;2;2023;0;C;1;F;4;C1F4;30.658;0;0;0;30.658;0;0;0;0;D4;1;27.05
13;2;2023;0;C;1;R;4;C1R4;22.015;0;0;0;22.015;0;0;0;0;D4;1;27.05
13;2;2023;0;C;1;P;4;C1P4;39.768;0;0;0;0;39.768;0;0;0;D5;1;27.05
13;2;2023;0;A;2;R;9;A2R9;17.328;0;1.837;15.491;0;0;0;0;0;D3;1;27.26
13;2;2023;0;A;2;F;9;A2F9;24.811;0;0;0;0;24.811;0;0;0;D5;1;27.26
13;2;2023;0;A;2;P;9;A2P9;18.645;0;0;0;0;18.645;0;0;0;D5;1;27.26
13;2;2023;0;A;2;F;10;A2F10;20.165;0;0;0;20.165;0;0;0;0;D4;1;27.26
13;2;2023;0;A;2;R;10;A2R10;38.991;0;0;0;38.991;0;0;0;0;D4;1;27.26
13;2;2023;0;A;2;P;10;A2P10;39.887;0;0;0;0;39.887;0;0;0;D5;1;27.26
13;2;2023;0;A;2;P;11;A2P11;20.342;0;0;0;0;20.342;0;0;0;D5;1;27.26
13;2;2023;0;A;2;R;11;A2R11;38.423;0;0;38.423;0;0;0;0;0;D3;1;27.26
13;2;2023;0;A;2;F;11;A2F11;21.697;0;0;0;0;21.697;0;0;0;D5;1;27.26
13;2;2023;0;A;2;F;12;A2F12;40.13;0;0;0;0;40.13;0;0;0;D5;1;27.26
13;2;2023;0;A;2;P;12;A2P12;29.535;0;0;0;0;29.535;0;0;0;D5;1;27.26
13;2;2023;0;A;2;R;12;A2R12;19.623;0;0;0;19.623;0;0;0;0;D3;1;27.26
13;2;2023;0;A;3;F;13;A3F13;49.516;0;0;0;0;0;49.516;0;0;D6;1;27.26
13;2;2023;0;A;3;P;13;A3P13;20.047;0;0;0;0;20.047;0;0;0;D5;1;27.26
13;2;2023;0;A;3;R;13;A3R13;34.682;0;0;34.682;0;0;0;0;0;D3;1;27.26
13;2;2023;0;A;3;P;14;A3P14;23.778;0;0;0;0;23.778;0;0;0;D5;1;27.26
13;2;2023;0;A;3;R;14;A3R14;15.152;0;0;0;15.152;0;0;0;0;D4;1;27.26
13;2;2023;0;A;3;F;14;A3F14;14.96;0;0;0;0;14.96;0;0;0;D5;1;27.26
13;2;2023;0;A;3;F;15;A3F15;26.839;0;0;0;26.839;0;0;0;0;D4;1;27.26
13;2;2023;0;A;3;P;15;A3P15;39.371;0;0;0;0;39.371;0;0;0;D5;1;27.26
13;2;2023;0;A;3;R;15;A3R15;40.255;0;0;0;40.255;0;0;0;0;D4;1;27.26
13;2;2023;0;A;3;R;16;A3R16;52.346;0;0;0;52.346;0;0;0;0;D4;1;27.26
13;2;2023;0;A;3;F;16;A3F16;38.533;0;0;0;38.533;0;0;0;0;D4;1;27.26
13;2;2023;0;A;3;P;16;A3P16;25.188;0;0;0;0;25.188;0;0;0;D5;1;27.26
13;2;2023;0;C;4;F;5;C4F5;30.984;0;0;0;30.984;0;0;0;0;D4;1;27.05
13;2;2023;0;C;4;R;5;C4R5;35.375;0;0;35.375;0;0;0;0;0;D3;1;27.05
13;2;2023;0;C;4;P;5;C4P5;29.611;0;0;0;0;29.611;0;0;0;D5;1;27.05
13;2;2023;0;C;4;R;6;C4R6;36.982;0;0;0;36.982;0;0;0;0;D4;1;27.05
13;2;2023;0;C;4;F;6;C4F6;32.821;0;0;0;32.821;0;0;0;0;D4;1;27.05
13;2;2023;0;C;4;P;6;C4P6;24.297;0;0;0;24.297;0;0;0;0;D4;1;27.05
13;2;2023;0;C;4;R;7;C4R7;36.739;0;0;36.739;0;0;0;0;0;D3;1;27.05
13;2;2023;0;C;4;P;7;C4P7;46.071;0;0;0;0;46.071;0;0;0;D5;1;27.05
13;2;2023;0;C;4;F;8;C4F8;40.991;0;0;40.991;0;0;0;0;0;D3;1;27.05
