column name;description
ID;identification code 
tempo;time in the experiment
trat;treatment
origem;origin site
trat_origem;treatment + origin site
D1;number of colonies with dominant color D1
D2;number of colonies with dominant color D2
D3;number of colonies with dominant color D3
D4;number of colonies with dominant color D4
D5;number of colonies with dominant color D5
D6;number of colonies with dominant color D6
fluorescente;number of colonies with dominant fluorescent area
morto;number of colonies with dominant dead area
