dia;mes;ano;tempo;trat;sist;local;n;ID;YII;YIIdec;dia_exp;temp
13;2;2023;T0;C;1;P;1;C1P1;648;0.648;1;27.26
13;2;2023;T0;C;1;R;1;C1R1;767;0.767;1;27.26
13;2;2023;T0;C;1;F;1;C1F1;671;0.671;1;27.26
13;2;2023;T0;C;1;P;2;C1P2;644;0.644;1;27.26
13;2;2023;T0;C;1;R;2;C1R2;624;0.624;1;27.26
13;2;2023;T0;C;1;F;2;C1F2;612;0.612;1;27.26
13;2;2023;T0;C;1;P;3;C1P3;627;0.627;1;27.26
13;2;2023;T0;C;1;R;3;C1R3;603;0.603;1;27.26
13;2;2023;T0;C;1;F;3;C1F3;648;0.648;1;27.26
13;2;2023;T0;C;1;P;4;C1P4;670;0.67;1;27.26
13;2;2023;T0;C;1;R;4;C1R4;682;0.682;1;27.26
13;2;2023;T0;C;1;F;4;C1F4;657;0.657;1;27.26
13;2;2023;T0;A;2;P;9;A2P9;788;0.788;1;27.26
13;2;2023;T0;A;2;R;9;A2R9;776;0.776;1;27.26
13;2;2023;T0;A;2;F;9;A2F9;685;0.685;1;27.26
13;2;2023;T0;A;2;P;10;A2P10;658;0.658;1;27.26
13;2;2023;T0;A;2;R;10;A2R10;622;0.622;1;27.26
13;2;2023;T0;A;2;F;10;A2F10;648;0.648;1;27.26
13;2;2023;T0;A;2;P;11;A2P11;598;0.598;1;27.26
13;2;2023;T0;A;2;R;11;A2R11;620;0.62;1;27.26
13;2;2023;T0;A;2;F;11;A2F11;604;0.604;1;27.26
13;2;2023;T0;A;2;P;12;A2P12;761;0.761;1;27.26
13;2;2023;T0;A;2;R;12;A2R12;776;0.776;1;27.26
13;2;2023;T0;A;2;F;12;A2F12;669;0.669;1;27.26
13;2;2023;T0;A;3;P;13;A3P13;712;0.712;1;27.26
13;2;2023;T0;A;3;R;13;A3R13;654;0.654;1;27.26
13;2;2023;T0;A;3;F;13;A3F13;832;0.832;1;27.26
13;2;2023;T0;A;3;P;14;A3P14;677;0.677;1;27.26
13;2;2023;T0;A;3;R;14;A3R14;685;0.685;1;27.26
